GENE NAME,Enzyme or Protein,GENE NAME/GENE/ENZYME PROTEIN,KO classification,Metabolism/other,Top Pathway
SLIV_24740,proB; Glutamate 5-kinase,D      SLIV_24740 proB; Glutamate 5-kinase,K00931 proB; glutamate 5-kinase [EC:2.7.2.11],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_24750,proA; Gamma-glutamyl phosphate reductase,D      SLIV_24750 proA; Gamma-glutamyl phosphate reductase,K00147 proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00261 Monoba,ctam biosynthesis [PATH:slv00261],C    00261 Monobactam biosynthesis [PATH:slv00261],,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21545,4-hydroxymandelate synthase,D      SLIV_21545 4-hydroxymandelate synthase,K16421 hmaS; 4-hydroxymandelate synthase [EC:1.13.11.46],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21550,glycolate oxidase,D      SLIV_21550 glycolate oxidase,K16422 hmo; 4-hydroxymandelate oxidase [EC:1.1.3.46],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21555,aminotransferase,D      SLIV_21555 aminotransferase,"K16423 hpgT; (S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21600,hypothetical protein,D      SLIV_21600 hypothetical protein,K05375 mbtH; MbtH protein,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_35495,hypothetical protein,D      SLIV_35495 hypothetical protein,K05375 mbtH; MbtH protein,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_07650,cysNC; Bifunctional enzyme CysN/CysC,D      SLIV_07650 cysNC; Bifunctional enzyme CysN/CysC,K00956 cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_07645,mmcV; Sulfate adenylyltransferase subunit 2,D      SLIV_07645 mmcV; Sulfate adenylyltransferase subunit 2,K00957 cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_20220,ask; Aspartokinase,D      SLIV_20220 ask; Aspartokinase,K00928 lysC; aspartate kinase [EC:2.7.2.4],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_20225,asd1; Aspartate-semialdehyde dehydrogenase,D      SLIV_20225 asd1; Aspartate-semialdehyde dehydrogenase,K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_24475,asd2; Aspartate-semialdehyde dehydrogenase,D      SLIV_24475 asd2; Aspartate-semialdehyde dehydrogenase,K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09915,dapA2; 4-hydroxy-tetrahydrodipicolinate synt,D      SLIV_09915 dapA2; 4-hydroxy-tetrahydrodipicolinate synthase 2,K01714 dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_28155,dapA1; 4-hydroxy-tetrahydrodipicolinate synt,D      SLIV_28155 dapA1; 4-hydroxy-tetrahydrodipicolinate synthase 1,K01714 dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_28270,dihydropicolinate synthase,D      SLIV_28270 dihydropicolinate synthase,K01714 dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09940,dapB; 4-hydroxy-tetrahydrodipicolinate reduc,D      SLIV_09940 dapB; 4-hydroxy-tetrahydrodipicolinate reductase,K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00331 Clavul,anic acid biosynthesis,C    00331 Clavulanic acid biosynthesis,,Metabolism,B  09110 Biosynthesis of other secondary metabolites
00521 Strept,omycin biosynthesis [PATH:slv00521],C    00521 Streptomycin biosynthesis [PATH:slv00521],,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_06845,sugar kinase,D      SLIV_06845 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_07585,sugar kinase,D      SLIV_07585 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_16970,sugar kinase,D      SLIV_16970 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_27075,glkA; Glucokinase,D      SLIV_27075 glkA; Glucokinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_32410,sugar kinase,D      SLIV_32410 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_02095,celB; Phosphoglucomutase,D      SLIV_02095 celB; Phosphoglucomutase,K01835 pgm; phosphoglucomutase [EC:5.4.2.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_05560,hypothetical protein,D      SLIV_05560 hypothetical protein,K01858 INO1; myo-inositol-1-phosphate synthase [EC:5.5.1.4],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_18770,hypothetical protein,D      SLIV_18770 hypothetical protein,K01858 INO1; myo-inositol-1-phosphate synthase [EC:5.5.1.4],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21475,myo-inositol phosphate synthase,D      SLIV_21475 myo-inositol phosphate synthase,K01858 INO1; myo-inositol-1-phosphate synthase [EC:5.5.1.4],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09305,SuhB protein,D      SLIV_09305 SuhB protein,K01092 E3.1.3.25; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_35545,sblA,D      SLIV_35545 sblA,K01092 E3.1.3.25; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_03025,iolG; Inositol 2-dehydrogenase,D      SLIV_03025 iolG; Inositol 2-dehydrogenase,K00010 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_04325,oxidoreductase,D      SLIV_04325 oxidoreductase,K00010 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_06870,dehydrogenase,D      SLIV_06870 dehydrogenase,K00010 iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_02455,NAD-dependent dehydratase,D      SLIV_02455 NAD-dependent dehydratase,"K01710 rfbB; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_07240,UDP-glucuronic acid decarboxylase 1,D      SLIV_07240 UDP-glucuronic acid decarboxylase 1,"K01710 rfbB; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_34185,"strE; dTDP-glucose 4,6-dehydratase","D      SLIV_34185 strE; dTDP-glucose 4,6-dehydratase","K01710 rfbB; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_35940,epimerase,D      SLIV_35940 epimerase,"K01790 rfbC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_03315,polysaccharide biosynthesis protein,D      SLIV_03315 polysaccharide biosynthesis protein,K00067 rfbD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00524 Neomyc,"in, kanamycin and gentamicin biosynthesis","C    00524 Neomycin, kanamycin and gentamicin biosynthesis",,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_06845,sugar kinase,D      SLIV_06845 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_07585,sugar kinase,D      SLIV_07585 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_16970,sugar kinase,D      SLIV_16970 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_27075,glkA; Glucokinase,D      SLIV_27075 glkA; Glucokinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_32410,sugar kinase,D      SLIV_32410 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00525 Acarbo,se and validamycin biosynthesis,C    00525 Acarbose and validamycin biosynthesis,,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_02455,NAD-dependent dehydratase,D      SLIV_02455 NAD-dependent dehydratase,"K01710 rfbB; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_07240,UDP-glucuronic acid decarboxylase 1,D      SLIV_07240 UDP-glucuronic acid decarboxylase 1,"K01710 rfbB; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_34185,"strE; dTDP-glucose 4,6-dehydratase","D      SLIV_34185 strE; dTDP-glucose 4,6-dehydratase","K01710 rfbB; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
00401 Novobi,ocin biosynthesis [PATH:slv00401],C    00401 Novobiocin biosynthesis [PATH:slv00401],,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21585,prephenate dehydrogenase,D      SLIV_21585 prephenate dehydrogenase,K04517 tyrA2; prephenate dehydrogenase [EC:1.3.1.12],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_28935,prephenate dehydrogenase,D      SLIV_28935 prephenate dehydrogenase,K04517 tyrA2; prephenate dehydrogenase [EC:1.3.1.12],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_15115,aspC; Aspartate aminotransferase,D      SLIV_15115 aspC; Aspartate aminotransferase,K00812 aspB; aspartate aminotransferase [EC:2.6.1.1],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_18600,pat; Putative phenylalanine aminotransferase,D      SLIV_18600 pat; Putative phenylalanine aminotransferase,K00817 hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_27440,hisC; Histidinol-phosphate aminotransferase,D      SLIV_27440 hisC; Histidinol-phosphate aminotransferase,K00817 hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_28420,hypothetical protein,D      SLIV_28420 hypothetical protein,K00817 hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00404 Stauro,sporine biosynthesis,C    00404 Staurosporine biosynthesis,,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_31415,halogenase,D      SLIV_31415 halogenase,K14257 ctcP; tetracycline 7-halogenase / FADH2 O2-dependent halogenase [EC:1.14.19.49 1.14.19.-],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00405 Phenaz,ine biosynthesis [PATH:slv00405],C    00405 Phenazine biosynthesis [PATH:slv00405],,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_27120,"phzB; Anthranilate synthase, phenazine speci","D      SLIV_27120 phzB; Anthranilate synthase, phenazine specific",K13063 phzE; 2-amino-4-deoxychorismate synthase [EC:2.6.1.86],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21620,trpE1; Anthranilate synthase component 1,D      SLIV_21620 trpE1; Anthranilate synthase component 1,K01657 trpE; anthranilate synthase component I [EC:4.1.3.27],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_27495,trpE2; Anthranilate synthase component 1,D      SLIV_27495 trpE2; Anthranilate synthase component 1,K01657 trpE; anthranilate synthase component I [EC:4.1.3.27],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21625,trpGD; Anthranilate synthase component II,D      SLIV_21625 trpGD; Anthranilate synthase component II,K01658 trpG; anthranilate synthase component II [EC:4.1.3.27],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00333 Prodig,iosin biosynthesis [PATH:slv00333],C    00333 Prodigiosin biosynthesis [PATH:slv00333],,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09150,peptide synthase,D      SLIV_09150 peptide synthase,K21780 pigI; L-proline---[L-prolyl-carrier protein] ligase [EC:6.2.1.53],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09160,hypothetical protein,D      SLIV_09160 hypothetical protein,K21781 pigG; peptidyl carrier protein,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09210,acyl-coa dehydrogenase RedW,D      SLIV_09210 acyl-coa dehydrogenase RedW,K21782 pigA; L-prolyl-PCP dehydrogenase [EC:1.3.8.14],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09215,polyketide synthase RedX,D      SLIV_09215 polyketide synthase RedX,K21783 pigJ; beta-ketoacyl ACP synthase [EC:2.3.1.-],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09155,8-amino-7-oxononanoate synthase,D      SLIV_09155 8-amino-7-oxononanoate synthase,"K21784 pigH; 4-hydroxy-2,2'-bipyrrole-5-methanol synthase",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09195,RedV protein,D      SLIV_09195 RedV protein,"K21785 pigM; 4-hydroxy-2,2'-bipyrrole-5-methanol dehydrogenase",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09130,methyltransferase,D      SLIV_09130 methyltransferase,"K27675 redI; 4-hydroxy-2,2'-bipyrrole-5-carbaldehyde O-methyltransferase [EC:2.1.1.-]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09125,phosphoenolpyruvate-utilizing enzyme,D      SLIV_09125 phosphoenolpyruvate-utilizing enzyme,K21787 pigC; prodigiosin/undecylprodigiosin synthetase,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_25765,fabD; Malonyl CoA-acyl carrier protein trans,D      SLIV_25765 fabD; Malonyl CoA-acyl carrier protein transacylase,K00645 fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09165,fabH3; 3-oxoacyl-[acyl-carrier-protein] synt,D      SLIV_09165 fabH3; 3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 3,K21788 redP; dodecanoy-ACP synthase,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_00320,oxidoreductase,D      SLIV_00320 oxidoreductase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_02965,3-oxoacyl-ACP reductase,D      SLIV_02965 3-oxoacyl-ACP reductase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_06825,short chain dehydrogenase,D      SLIV_06825 short chain dehydrogenase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_06900,3-oxoacyl-ACP reductase,D      SLIV_06900 3-oxoacyl-ACP reductase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_12180,oxidoreductase,D      SLIV_12180 oxidoreductase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_14930,short chain dehydrogenase,D      SLIV_14930 short chain dehydrogenase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_15770,3-ketoacyl-(acyl-carrier-protein) reductase,D      SLIV_15770 3-ketoacyl-(acyl-carrier-protein) reductase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_28560,oxidoreductase,D      SLIV_28560 oxidoreductase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_28645,fabG; 3-oxoacyl-[acyl-carrier-protein] reduc,D      SLIV_28645 fabG; 3-oxoacyl-[acyl-carrier-protein] reductase FabG,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_31045,3-oxoacyl-(ACP) reductase,D      SLIV_31045 3-oxoacyl-(ACP) reductase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_36290,3-ketoacyl-(acyl-carrier-protein) reductase,D      SLIV_36290 3-ketoacyl-(acyl-carrier-protein) reductase,K00059 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09175,3-oxoacyl-[acyl-carrier-protein] synthase II,D      SLIV_09175 3-oxoacyl-[acyl-carrier-protein] synthase II,K21789 redR; dodecanoy-ACP synthase,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09170,hypothetical protein,D      SLIV_09170 hypothetical protein,K21790 redQ; acyl carrier protein,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09135,thioesterase,D      SLIV_09135 thioesterase,K21791 redJ; thioesterase,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09145,polyketide synthase,D      SLIV_09145 polyketide synthase,K21792 redL; polyketide synthase,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_09140,oxidoreductase,D      SLIV_09140 oxidoreductase,,Metabolism,B  09110 Biosynthesis of other secondary metabolites
,,,,Metabolism,B  09110 Biosynthesis of other secondary metabolites
00254 Aflato,xin biosynthesis,C    00254 Aflatoxin biosynthesis,,Metabolism,B  09110 Biosynthesis of other secondary metabolites
00998 Biosyn,thesis of various antibiotics [PATH:slv00998],C    00998 Biosynthesis of various antibiotics [PATH:slv00998],,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_21445,hypothetical protein,D      SLIV_21445 hypothetical protein,K02078 acpP; acyl carrier protein,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_25755,hypothetical protein,D      SLIV_25755 hypothetical protein,K02078 acpP; acyl carrier protein,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_31455,acyl carrier protein,D      SLIV_31455 acyl carrier protein,K02078 acpP; acyl carrier protein,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_35195,acyl carrier protein,D      SLIV_35195 acyl carrier protein,K02078 acpP; acyl carrier protein,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_34060,cyp105D1; Cytochrome P450-SOY,D      SLIV_34060 cyp105D1; Cytochrome P450-SOY,K17876 CYP105D; pentalenic acid synthase [EC:1.14.15.11],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00999 Biosyn,thesis of various plant secondary metabolites,C    00999 Biosynthesis of various plant secondary metabolites [PATH:slv00999],,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_30390,metK; S-adenosylmethionine synthase,D      SLIV_30390 metK; S-adenosylmethionine synthase,K00789 metK; S-adenosylmethionine synthetase [EC:2.5.1.6],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_05435,beta-glucosidase,D      SLIV_05435 beta-glucosidase,K05349 bglX; beta-glucosidase [EC:3.2.1.21],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_10200,sugar hydrolase,D      SLIV_10200 sugar hydrolase,K05349 bglX; beta-glucosidase [EC:3.2.1.21],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_35650,beta-glucosidase,D      SLIV_35650 beta-glucosidase,K05349 bglX; beta-glucosidase [EC:3.2.1.21],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_01520,Bifunctional beta-D-glucosidase/beta-D-fucos,D      SLIV_01520 Bifunctional beta-D-glucosidase/beta-D-fucosidase,K05350 bglB; beta-glucosidase [EC:3.2.1.21],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_05400,bglA; Beta-glucosidase A,D      SLIV_05400 bglA; Beta-glucosidase A,K05350 bglB; beta-glucosidase [EC:3.2.1.21],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_23680,Bifunctional beta-D-glucosidase/beta-D-fucos,D      SLIV_23680 Bifunctional beta-D-glucosidase/beta-D-fucosidase,K05350 bglB; beta-glucosidase [EC:3.2.1.21],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_25030,bglB; Thermostable beta-glucosidase B,D      SLIV_25030 bglB; Thermostable beta-glucosidase B,K05350 bglB; beta-glucosidase [EC:3.2.1.21],Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_32500,Bifunctional beta-D-glucosidase/beta-D-fucos,D      SLIV_32500 Bifunctional beta-D-glucosidase/beta-D-fucosidase,K05350 bglB; beta-glucosidase [EC:3.2.1.21],Metabolism,B  09110 Biosynthesis of other secondary metabolites
00997 Biosyn,thesis of various other secondary metabolites,C    00997 Biosynthesis of various other secondary metabolites,,Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_04700,"(2E,6E)-farnesyl diphosphate synthase","D      SLIV_04700 (2E,6E)-farnesyl diphosphate synthase","K13787 idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_12115,polyprenyl synthetase,D      SLIV_12115 polyprenyl synthetase,"K13787 idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_35105,polyprenyl synthetase,D      SLIV_35105 polyprenyl synthetase,"K13787 idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_35115,polyprenyl synthetase,D      SLIV_35115 polyprenyl synthetase,"K13787 idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
SLIV_36970,geranylgeranyl pyrophosphate synthase,D      SLIV_36970 geranylgeranyl pyrophosphate synthase,"K13787 idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]",Metabolism,B  09110 Biosynthesis of other secondary metabolites
09111 Xenobiot,ics biodegradation and metabolism,B  09111 Xenobiotics biodegradation and metabolism,,Metabolism,B  09111 Xenobiotics biodegradation and metabolism
00362 Benzoa,te degradation [PATH:slv00362],C    00362 Benzoate degradation [PATH:slv00362],,Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_05020,3-oxoadipate enol-lactone hydrolase/4-carbox,D      SLIV_05020 3-oxoadipate enol-lactone hydrolase/4-carboxymuconolactone decarboxylase,K14727 pcaL; 3-oxoadipate enol-lactonase / 4-carboxymuconolactone decarboxylase [EC:3.1.1.24 4.1.1.44],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_06455,3-oxoadipate enol-lactone hydrolase/4-carbox,D      SLIV_06455 3-oxoadipate enol-lactone hydrolase/4-carboxymuconolactone decarboxylase,K14727 pcaL; 3-oxoadipate enol-lactonase / 4-carboxymuconolactone decarboxylase [EC:3.1.1.24 4.1.1.44],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_08010,acetyl-coa acetyltransferase,D      SLIV_08010 acetyl-coa acetyltransferase,K00632 fadA; acetyl-CoA acyltransferase [EC:2.3.1.16],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_31170,fadA; 3-ketoacyl-CoA thiolase,D      SLIV_31170 fadA; 3-ketoacyl-CoA thiolase,K00632 fadA; acetyl-CoA acyltransferase [EC:2.3.1.16],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_14925,hypothetical protein,D      SLIV_14925 hypothetical protein,K01821 praC; 4-oxalocrotonate tautomerase [EC:5.3.2.6],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_05010,"protocatechuate 3,4-dioxygenase, alpha subun","D      SLIV_05010 protocatechuate 3,4-dioxygenase, alpha subunit","K00448 pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]",Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_05005,"pcaH; Protocatechuate 3,4-dioxygenase beta c","D      SLIV_05005 pcaH; Protocatechuate 3,4-dioxygenase beta chain","K00449 pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]",Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_05015,"3-carboxy-cis,cis-muconate cycloisomerase","D      SLIV_05015 3-carboxy-cis,cis-muconate cycloisomerase","K01857 pcaB; 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]",Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_18910,decarboxylase,D      SLIV_18910 decarboxylase,K01607 pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_00970,ferredoxin reductase,D      SLIV_00970 ferredoxin reductase,K00529 hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_03690,ferredoxin reductase,D      SLIV_03690 ferredoxin reductase,K00529 hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_25340,reductase,D      SLIV_25340 reductase,K00529 hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
SLIV_27175,oxidoreductase,D      SLIV_27175 oxidoreductase,K00529 hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],Metabolism,B  09111 Xenobiotics biodegradation and metabolism
